Time (s),ESC signal (us),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
1.235371550000048,1500,,,,0,-0.0317578125,-0.95478515625,0.00004871132643619964,-0.000607550868460569,16.318803581524804,0.023546799682875687,0,0,0.3842547739758114,0,0,0,0,0.05859375,,
1.2368860000000397,1230,,,,-0.04927734375,-0.02880859375,-1.0060546875,-0.044388146715591235,1.5177347373708887,15.688231428926244,8.203826708908469,19898,0,128.70348469539667,92.49633690892999,71.86692532512214,0.016418118812687316,0.01179302447444719,0.98087890625,,
8.037186050000038,1243.8461538461554,,,,-0.011015625,-0.01248046875,-0.965625,-0.040535156368404594,1.3759545031126366,15.736377125883378,7.190262523537067,19080,0,113.14862235465195,80.99467266841582,71.58299750119156,0.01699535733734847,0.012160785694954702,0.827734375,,
14.83742355000003,1257.6923076923092,,,,0.0137109375,-0.030859375,-0.99328125,-0.03696128085402421,1.2589077109862676,15.79475354516602,6.25643718313214,18168,0,98.81870353110489,70.32081746459082,71.16288736303154,0.017904950120267858,0.012740481261221629,0.68357421875,,
21.637445300000046,1271.5384615384646,,,,0.01240234375,-0.02595703125,-1.00103515625,-0.03353109008787516,1.1336999175012337,15.853218484449641,5.410989479840888,17344,0,85.78157784921626,60.90116759931048,70.99689622666845,0.018617517524417208,0.013216298149748,0.499140625,,
28.437262850000035,1285.3846153846132,,,,-0.006484375,-0.01251953125,-0.99296875,-0.030551319537830177,1.039634864710874,15.904681311963591,4.6820471239651615,16418,0,74.46644689229981,52.524897632095474,70.53575452749534,0.01979515752868602,0.01396121757870109,0.47328125,,
35.23760355000006,1299.2307692307668,,,,0.005625,-0.009453125,-0.9978515625,-0.02692105766207781,0.9328014898943073,15.963128777483107,3.976408603925216,15500,0,63.47586348649153,43.69585757945355,68.83534472131112,0.02135121680092998,0.01469559890059138,0.41947265625,,
42.037757250000055,1313.0769230769222,,,,0.005234375,-0.017421875,-0.99369140625,-0.023815266276604175,0.8271478041132189,16.01355049079664,3.335433023367035,14549,0,53.412098226745094,36.28383564252208,67.93375083620941,0.022800698322070136,0.0154865609110634,0.37951171875,,
48.83850115000003,1326.9230769230774,,,,-0.022890625,-0.00349609375,-0.998984375,-0.02075087421511255,0.7166196768170804,16.05900638370505,2.738117578247797,13591,0,43.971441578505875,29.53360803792241,67.16791502720662,0.024265203095030125,0.01629805093641352,0.6292578125,,
55.638579950000086,1340.769230769233,,,,0.005078125,-0.02587890625,-0.9953515625,-0.01769535697625407,0.6295846352883204,16.10273812985965,2.2210454165627853,12538,0,35.76487113674105,23.233036577746866,64.96540157619938,0.02710233357942325,0.017605936155218573,0.2037109375,,
62.43872040000003,1354.6153846153863,,,,0.00193359375,-0.015546875,-0.99888671875,-0.01500606175984504,0.5351703210238645,16.13828239754684,1.7741306166469977,11565,0,28.631406706741345,18.17274980279079,63.47803230878803,0.029461944804091533,0.018694310368805023,0.24111328125,,
69.23880935000003,1368.4615384615352,,,,0.003203125,-0.0181640625,-0.99365234375,-0.012076175283751942,0.4207209849705555,16.174680858277238,1.332408029246901,10432,0,21.551267312256744,13.192396842497885,61.21894337439511,0.031901275840726384,0.019524432882116506,0.44267578125,,
76.03948145000005,1382.3076923076906,,,,0.004296875,-0.01900390625,-0.99853515625,-0.009299601611127185,0.32540151436037806,16.20423973202926,0.9729734676710684,9230,0,15.766285160494153,8.988694123696861,57.020258251848645,0.03620693551066914,0.02064222211259441,0.21197265625,,
82.83973885000006,1396.1538461538448,,,,0.00474609375,-0.0225390625,-0.997109375,-0.006973981177723924,0.24472326148201362,16.230348506376547,0.6939961286338375,8053,0,11.263796257005254,5.8814381734673224,52.21196056452611,0.04167050535936213,0.02172940349836842,0.2463671875,,
89.63968210000009,1410,,,,0.001015625,-0.0167578125,-0.99751953125,-0.00500985655154594,0.18206296511359957,16.252323902107243,0.46982911411915046,6751,0,7.635814089313987,3.5417768887287924,46.392738295273894,0.05141414384173955,0.023850933204263174,0.2501953125,,
96.43987435000008,1423.8461538461552,,,,0.0001171875,-0.01857421875,-0.9990234375,-0.0030873600588505945,0.11793379656288697,16.269421513809583,0.29676851125205705,5418,0,4.82825085408815,1.7519411218606833,36.29416509345946,0.06741504692293836,0.024438282370179913,0.21984375,,
103.24003615000007,1437.6923076923094,,,,0.00322265625,-0.016171875,-0.99861328125,-0.0013909513206343202,0.07173768604149318,16.282328139505292,0.17183149862015187,4025,0,2.7978161772115318,0.5862118203802733,20.961097193533337,0.1236592500027587,0.02569491866356178,0.110234375,,
110.04016920000002,1451.538461538465,,,,0.00455078125,-0.0178515625,-1.0007421875,-0.0000985153666921621,0.0369514125940149,16.292454902596454,0.09378522709075351,14,0,1.5279907024371666,0.000188503876868227,0.01253369871285098,0,0.009941020178779833,0.09439453125,,
116.84031305000009,1465.3846153846143,,,,-0.00009765625,-0.02888671875,-0.974765625,0.00029736927386467727,0.01347750486162136,16.29870046589994,0.04823456168780611,0,0,0.7861610982172204,0,0,0,0,0.06806640625,,
123.64071255,1479.2307692307686,,,,0,-0.03142578125,-0.96021484375,0.0005155426031509257,0.010134876351372167,16.302276472448227,0.023875341061925678,0,0,0.38922219238037703,0,0,0,0,0.06052734375,,
130.44041130000002,1493.076923076924,,,,0,-0.0315625,-0.958203125,0.0005707070642110976,0.008732696571598723,16.303474003124737,0.023023300609072872,0,0,0.37535918763347775,0,0,0,0,0.0599609375,,
137.24082205000008,1506.923076923076,,,,0,-0.0314453125,-0.96091796875,0.0006067252852452474,0.01641031063955946,16.30520914249193,0.0237879292460461,0,0,0.3878674271202873,0,0,0,0,0.06564453125,,
144.04112185000002,1520.7692307692314,,,,-0.000234375,-0.02603515625,-0.97697265625,0.0009869340686002664,-0.0028896381093893794,16.303536658033043,0.06080324037861534,0,0,0.9913043666122282,0.000026127262108541342,0.0023567428306630863,14.138751419860355,0.001622266264390901,0.07068359375,,
150.84158795000002,1534.6153846153852,,,,0.00212890625,-0.01453125,-0.99748046875,0.0015065485025360242,-0.044711713928714536,16.299818773606763,0.12419768225073183,3145,0,2.02439589874206,0.4966695906239222,24.581797347713817,0.0946784784895822,0.022133140213404214,0.0931640625,,
157.64185070000008,1548.461538461535,,,,0.00341796875,-0.02009765625,-0.997265625,0.002679428000470707,-0.10246025348623534,16.29309895420566,0.21512562670420124,4584,0,3.505063187475876,1.2863510629970734,36.71336307602777,0.07973204198459892,0.02924875072732756,0.13884765625,,
164.4417680000001,1562.30769230769,,,,0.00306640625,-0.01611328125,-0.99783203125,0.004238096143707605,-0.1860739884546625,16.279192928173266,0.386107512750405,6149,0,6.285506101223713,2.729845740895462,43.44233034115732,0.06881229139245065,0.02965326161834443,0.2293359375,,
171.24181640000003,1576.1538461538446,,,,0.00470703125,-0.020234375,-0.99974609375,0.005999075271390586,-0.286596183970299,16.26334812634622,0.5894160860975781,7559,0,9.585875402642218,4.749032387691606,49.54849429668171,0.06038840505097305,0.02990332400595659,0.27380859375,,
178.04224555000005,1590,,,,0.00482421875,-0.01689453125,-0.9984765625,0.008018767835606587,-0.39694238989796166,16.240222019567714,0.854936098413307,8922,0,13.884336864671118,7.491494150350402,53.97464433940562,0.05300725024717078,0.028598589492937157,0.255078125,,
184.84244055000008,1603.8461538461554,,,,-0.0061328125,-0.0169140625,-1.004140625,0.010566289113272273,-0.5187666533415957,16.21153151013117,1.2118186429527356,10223,0,19.645425151703606,11.312194094720377,57.5866484774173,0.04587735723135327,0.026410845124018336,0.355390625,,
191.6428240500001,1617.69230769231,,,,-0.0028515625,-0.00654296875,-0.998828125,0.013537620349325076,-0.6736437782060912,16.175349144866942,1.699741461238809,11629,0,27.493900279222657,16.485452776286508,59.96533765859377,0.0408728301325231,0.024506069229595816,0.24677734375,,
198.44276760000005,1631.5384615384653,,,,-0.00572265625,-0.0241015625,-1.00029296875,0.015812161571372912,-0.8293225392587571,16.137831906704257,2.168281300568665,12743,0,34.991305997134496,21.099858526645093,60.31100777477067,0.03931321106360306,0.023705703581035676,0.29119140625,,
205.24322895000006,1645.3846153846157,,,,0.0035546875,-0.01787109375,-0.99865234375,0.018739834501638342,-0.951324283900258,16.096366661805263,2.647527056477969,13760,0,42.6155528897677,27.002664578682523,63.363639999159915,0.03524167694039535,0.022324573856069937,0.3091015625,,
212.0434990000001,1659.2307692307697,,,,-0.00001953125,-0.01462890625,-0.99814453125,0.02137408182396309,-1.109181270499213,16.04594606910611,3.2933300372414562,14880,0,52.84457641960093,33.30605913269614,63.02879206505287,0.03330826804023338,0.020990431835677476,0.252734375,,
218.84358605000006,1673.0769230769251,,,,0.00439453125,-0.0304296875,-0.99169921875,0.02380137928691744,-1.2542078222594744,15.993447490077802,3.9158786747365624,15864,0,62.62839468533144,39.54159135893952,63.13678990467245,0.03172317079614144,0.02002641149843308,0.31294921875,,
225.6438601,1686.9230769230746,,,,0.0047265625,-0.0191015625,-1.00408203125,0.027042755522035115,-1.4305203834755948,15.925337348410794,4.709428049950477,16935,0,74.99919880528103,47.96009663631873,63.94464646622776,0.029863426550952674,0.019075038136797565,0.31716796875,,
232.44402254999997,1700.76923076923,,,,-0.02357421875,-0.03181640625,-1.00296875,0.02955677661524837,-1.6080712915764772,15.853968456904381,5.5055808840822325,17904,0,87.28525137513928,55.41514965841377,63.48678409642795,0.02902476664981146,0.018423538114887377,0.7351171875,,
239.24416590000004,1714.615384615384,,,,-0.0022265625,-0.0378125,-1.0239453125,0.03319905241690136,-1.7628706608550082,15.773417747681513,6.420419892067306,18877,0,101.27192078536562,65.62719818610384,64.80364299414046,0.02686495764063185,0.017407784378429002,0.45947265625,,
246.0444667500001,1728.4615384615345,,,,0.01517578125,-0.007421875,-0.9942578125,0.035708942418693906,-1.964030657311414,15.688057555390728,7.331162205332961,19736,0,115.01162913116431,73.8025407646189,64.17014408831305,0.02661501385864002,0.017077256896515347,0.6034375,,
252.84445585000012,1742.3076923076899,,,,0.0047265625,-0.018828125,-1.0045703125,0.03864268076752297,-2.1440379767567417,15.581110362186605,8.409661547208339,20702,0,131.03183783309987,83.7753841350019,63.93550647507289,0.025594595072746244,0.01636282987478441,0.725390625,,
259.6446579500002,1756.1538461538446,,,,0.0110546875,-0.0258984375,-0.9978125,0.04216286509460973,-2.3025246957787964,15.462081206678373,9.593289984046645,21648,0,148.3321308738748,95.58061418873201,64.4370080222294,0.024090992828120723,0.015522969530740465,0.628046875,,
266.4446889500001,1770,,,,0.01025390625,-0.0247265625,-0.9993359375,0.04508728123710255,-2.522883522040708,15.327070166009575,10.90429388171536,22585,0,167.1307974060901,106.63556933952283,63.80390748706174,0.023662789324382916,0.015095449031251767,0.68939453125,,
