Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
1.0582546999999993,1500,,,,0,-0.03197265625,-0.95326171875,0.00022784880516645313,0.03481741810187826,16.386824361121768,0.023516400547744603,0,0,0.3853591959158966,0,0,0,0,0.05859375,,
1.1054039000000113,1200,,,,0.0444921875,-0.01931640625,-1.0028515625,-0.053357108093231825,1.81922645603963,15.576143360561316,10.750576178872684,21995,0,167.45233437487815,122.90003626694548,73.3936970057605,0.014804826139616666,0.010864470003480493,0.95734375,,
7.8666759000000095,1215.3846153846134,,,,0.03501953125,0.0056640625,-0.9830859375,-0.04912320000003143,1.6792223032651303,15.624863502790891,9.443368981009865,20951,0,147.5512074200479,107.77355520013973,73.04198386634863,0.015582241560723268,0.011380581135516276,1.1855078125,,
14.63846260000001,1230.7692307692332,,,,0.0346484375,-0.0152734375,-0.99501953125,-0.04372092589501579,1.5071602836786866,15.700435445599958,8.110700516561332,19959,0,127.341436683321,91.3824917274497,71.76320353697821,0.016493624250842765,0.011835893866945488,0.98890625,,
21.408373650000023,1246.1538461538446,,,,0.031171875,0.016640625,-0.9848046875,-0.040238131460401984,1.3889306197301698,15.767246575400092,7.087881180545453,18996,0,111.75633085634374,80.04233360266886,71.62241959113798,0.017353869290891097,0.012428475185936873,0.7018359375,,
28.22211965000002,1261.5384615384646,,,,-0.00435546875,-0.03396484375,-1.015390625,-0.036261372251198985,1.2337891648647121,15.843243843037728,6.017006634142762,17950,0,95.32882000851258,68.162494862041,71.50542390905466,0.01810309272526918,0.012942367009525946,0.60177734375,,
35.047240499999994,1276.9230769230778,,,,0.00486328125,-0.01095703125,-0.96966796875,-0.03314622689855928,1.1450943621928866,15.9049708802315,5.178525241723355,16962,0,82.3642388511133,58.87729562352537,71.48534810813464,0.019453318460517132,0.013903351149950022,0.4912109375,,
41.872201249999996,1292.3076923076906,,,,-0.0105078125,-0.0305078125,-0.995703125,-0.02878887895563422,1.0138434586767153,15.971232489306429,4.343764995039558,15963,0,69.37526941561839,48.12323503589109,69.36714436439117,0.021072196401064145,0.014614314494399684,0.46501953125,,
48.697629350000014,1307.6923076923094,,,,0.00283203125,-0.020625,-0.991953125,-0.02449421001265263,0.8928115509747054,16.03166739806541,3.5641498507787475,14933,0,57.13921099029583,38.30364819175731,67.04032957266591,0.023311022959009404,0.015626839991319495,0.49455078125,,
55.52294045000001,1323.0769230769222,,,,0.001328125,0.0040625,-0.97166015625,-0.022174537150207837,0.7841501032866679,16.07950229310093,2.9530750945981414,13885,0,47.483969788468215,32.24169076822263,67.90130830762078,0.024320995717114945,0.01651456298887935,0.7162890625,,
62.34780480000002,1338.4615384615352,,,,0.0055078125,-0.02314453125,-0.99802734375,-0.01858364316707995,0.6613225502376641,16.128859762229435,2.3297643189414843,12812,0,37.576433565692234,24.934136471133364,66.3567991754729,0.026525257668112905,0.017600180644021367,0.26380859375,,
69.17301310000002,1353.8461538461552,,,,0.00595703125,-0.02083984375,-0.99478515625,-0.01571613437889485,0.5641981349419355,16.170431565958417,1.81353679116959,11684,0,29.325665276841907,19.228967780856202,65.57527608842831,0.029347470954997026,0.019241010870141156,0.21443359375,,
75.99793060000003,1369.2307692307672,,,,0.00052734375,-0.01830078125,-0.99705078125,-0.012435861508257985,0.44556717235084997,16.209653271550568,1.3233151384264794,10373,0,21.450468848804768,13.508486602521787,62.9776977917842,0.03298545350923439,0.02077243060814674,0.42447265625,,
82.82341085000003,1384.6153846153861,,,,0.00416015625,-0.012265625,-0.9934375,-0.009064444556850612,0.340325601125139,16.245746797406905,0.9241694498439647,9001,0,15.01381944759371,8.544502272713446,56.92485721544577,0.03989196955557894,0.022671688610208376,0.2120703125,,
